index,propertyCode,thumbnail,numPhotos,price,priceInfo,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,parkingSpace,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,externalReference,floor,hasLift,exterior,neighborhood,highlight
0,102428199,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ee/de/12/1155340727.webp,21,2500.0,"{'price': {'amount': 2500.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 5000.0, 'priceDropValue': 2500, 'priceDropPercentage': 50}}}",chalet,rent,260.0,3,3,Bonanova,Tarragona,Calafell,Bonanova,es,41.2011954,1.5605895,False,https://www.idealista.com/inmueble/102428199/,55127,"ALQUILER TEMPORAL! ALQUILER MAXIMO 3 MESES Y MINIMO 1 MES. Se alquila Chalet independiente con piscina y jardin, Calafell Urb Bonanova.  Se distribuye en planta planta garaje mas dos plantas. Salon comedor amplio con varias salidas a las terrazas, cocina equipada todos los electrodomesticos menos la nevera. Una habitacion tipo suite en planta, un aseo de cortesia, lavadero. En la plata 1 tenemos 2 dormitorios dobles, uno de ellos tipo suite y un baño completo con la bañera grande. Terraza con vistas a la zona verde y mar. La casa tiene calefaccion de gas, 2 splits del aire acondicionado ( frio calor), Placas solares que permiten un gran ahorro en las facturas de electricidad. Garaje para 4 coches. Piscina y jardin con arboles frutales al rededor de la casa. La zona es muy tranquila con los vecinos que viven todo el año. El centro de Calafell esta a 10 minutos andando. Playa a 1.2 km.",False,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",10.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Bonanova, Calafell', 'title': 'Casa independiente'}",False,False,False,False,False,False,,,,,,
1,102698364,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/be/c2/1f/1164206713.webp,28,1000.0,"{'price': {'amount': 1000.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1950.0, 'priceDropValue': 950, 'priceDropPercentage': 49}}}",flat,rent,90.0,3,2,Passatge Riu Ter,Barcelona,Cubelles,Pla de Sant Pere-Les Salines,es,41.1960357,1.6515358,False,https://www.idealista.com/inmueble/102698364/,48402,"FECHAS DISPONIBLES: TEMPORADA BAJA: De Octubre '24 a Marzo '25: 900 € / mes. Abril '25: 1.000 €/mes. Mayo '25: 900 €/mes. Segundo de altura esquinero a mar con vistas situado en zona Les Salines de Cubelles. Tiene una superficie de 90m². La vivienda se distribuye en cocina independiente con lavavajillas y microondas, amplio comedor, 3 habitaciones dobles, 1 baño con bañera en suite, 1 aseo con ducha y terraza con toldo. Dispone de aire acondicionado y calefacción por radiadores de gas natural.  Está equipado con suelos de gres, ventanas de aluminio y armarios empotrados. Finca con ascensor y piscina comunitaria. Incluye plaza de parking (Sin trastero). NO SE ACEPTAN MASCOTAS. Orientación al mar. WIFI NO- Año de construcción 2004. Las imágenes son orientativas por lo que algunos elementos o mobiliario mostrados pueden sufrir modificaciones o no estar disponibles en la vivienda. REF. 124380.",False,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",11.0,{'typology': 'flat'},"{'subtitle': 'Pla de Sant Pere-Les Salines, Cubelles', 'title': 'Piso en Passatge Riu Ter'}",False,False,False,False,False,False,124380,2,True,,,
2,101723155,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cf/48/dc/1245409654.webp,16,2200.0,"{'price': {'amount': 2200.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 4000.0, 'priceDropValue': 1800, 'priceDropPercentage': 45}}}",flat,rent,80.0,2,2,San Sebastian-Aiguadolç,Barcelona,Sitges,San Sebastian-Aiguadolç,es,41.237495,1.8146827,False,https://www.idealista.com/inmueble/101723155/,34160,"Alquiler; sitges Quieres pasar unas vacaciones de ensueño en un lugar magnífico con una vista fabulosa de Sitges y el mar Tenemos el apartamento ideal, entrando en el salón, comedor, se siente como estar en un barco con la vista al mar que nos acompaña en la terraza donde puedes desayunar o cenar Al lado tenemos la cocina totalmente equipada y la zona de noche consta de 1 dormitorio doble y un dormitorio individual(con 2 camas) con baño con ducha italiana y aseo independiente. Coge tu toalla y en menos de un minuto estás en la playa El alquiler es temporal Completamente amueblado y equipado La playa de Sant Sebastian es una de las más bonitas de Sitges con sus bares y restaurantes ya 2 minutos del centro de la ciudad disponible para meses de inverno 10904 JL.",False,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",28.0,{'typology': 'flat'},"{'subtitle': 'San Sebastian-Aiguadolç, Sitges', 'title': 'Piso'}",False,False,False,False,False,False,10904,3,False,True,,
3,105730669,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cd/60/04/1261316471.webp,24,2500.0,"{'price': {'amount': 2500.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 4500.0, 'priceDropValue': 2000, 'priceDropPercentage': 44}}}",penthouse,rent,140.0,2,2,calle de la Madriģuera,Barcelona,Sitges,Vallpineda-Santa Bárbara,es,41.2446126,1.8034621,False,https://www.idealista.com/inmueble/105730669/,34619,"Descubre el encanto de vivir en un ático exclusivo en Sitges Este magnífico ático de 90 m² útiles, construido en 2023, ofrece un concepto abierto que maximiza la luz natural y el espacio. Con dos suites que incluyen baños privados, este hogar es perfecto para alojar cómodamente a 4 personas. Disfruta de las vistas panorámicas desde dos terrazas privadas, ideales para relajarse o recibir invitados. La cocina está equipada con electrodomésticos nuevos, haciendo que cocinar sea un placer. Además, el aire acondicionado y la calefacción por bomba de frío/calor garantizan una temperatura perfecta durante todo el año. El ascensor directo al apartamento facilita el acceso, y la vivienda es apta para personas con movilidad reducida.  Ubicado a tan solo 8 minutos andando del centro de Sitges, tendrás fácil acceso a la playa, servicios y supermercados. Este ático también cuenta con armarios empotrados, trastero y una orientación sur que asegura una excelente iluminación natural. La clase energética C y las bajas emisiones de CO2 reflejan su eficiencia y respeto por el medio ambiente.  No pierdas la oportunidad de vivir en este oasis urbano con contacto directo con el propietario y vacantes ya disponibles. ¡Ven a descubrir tu nuevo hogar en Sitges!",False,good,False,,18.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Vallpineda-Santa Bárbara, Sitges', 'title': 'Ático en calle de la Madriģuera'}",False,False,False,False,False,False,Ático San Francisco,3,True,True,,
4,104682179,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ce/fe/23/1228382130.webp,32,3500.0,"{'price': {'amount': 3500.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 6000.0, 'priceDropValue': 2500, 'priceDropPercentage': 42}}}",flat,rent,130.0,3,2,calle Gran de Gràcia,Barcelona,Barcelona,Gràcia,es,41.3990738,2.158335,False,https://www.idealista.com/inmueble/104682179/,1998,"ALQUILER TEMPORAL, ESTANCIAS MINIMAS UN MES Y UN DIA  Julio, agosto y septiembre 6.000€ resto del año 4.000€ En el corazón de Barcelona, a 150 metros del Paseo de Gracia, en el edificio modernista proyectado en 1907 por Isidre Reventós, se encuentra este exclusivo apartamento totalmente reformado. Déjate envolver por la belleza arquitectónica de nuestro piso, con detalles modernistas que te transportarán a otra época. Bigas, pilares, techos de bóveda catalana y elementos originales crean una atmósfera única y encantadora. Cada rincón ha sido cuidadosamente decorado para ofrecer una experiencia llena de elegancia y confort. Ya sea que estés aquí por negocios o placer, nuestro piso te brindará una experiencia única. Desde el momento en que entras, te sentirás como en casa en un entorno de lujo. Descubre la auténtica Barcelona desde la comodidad y el estilo de nuestra Joya Modernista. Con tres habitaciones cuidadosamente diseñadas, nuestro piso es perfecto para aquellos que buscan una estancia llena de comodidades. Las habitaciones cuentan con ropa de cama de alta calidad, garantizando noches de descanso reparador. La cocina completamente equipada y el salón espacioso son ideales para relajarse y disfrutar de momentos inolvidables. Toallas y ropa de cama TV 75 pulgadas Samsung Estación de trabajo, Despacho Decó Aire acondicionado con bomba de calor en todas las habitaciones y estancias Armarios grandes en cada habitación Cocina Totalmente equipada Conexión inalámbrica a internet Fibra 1 Gb (Movistar) Lavadora Secadora Lavavajillas Batería de cocina y Vajilla completa 6 personas Máquina de café NESPRESSO Hervidor de agua Gran Mesa de comedor y BILLAR/RULETA Barrio Sumérgete en la esencia de Barcelona desde nuestro piso modernista, ubicado en el prestigioso barrio de Gran de Gracia. A pocos pasos de los emblemáticos lugares como La Pedrera y la Sagrada Familia, nuestro hogar es el punto de partida perfecto para explorar la vibrante vida de la ciudad. La oferta comercial es muy rica y variada, incluye desde tiendas de moda y perfumerías hasta restaurantes tan emblemáticos como el Botafumeiro, establecimientos de delicatessen y de electrónica, tiendas ecológicas y centro de estética. Después de una tarde de compras, no hay nada mejor para completar el día que adentrarse en el barrio y disfrutar de su ambiente bohemio e informal. Medios de transporte Carrer Can de Gracia se encuentra en el distrito de Ciutat Vella en Barcelona. Aquí tienes algunas opciones para moverte por esa área: Transporte público: Barcelona cuenta con un eficiente sistema de transporte público. Puedes consultar la web oficial del transporte público de Barcelona, La Autoritat del Transport Metropolità (ATM), puedes visitar su sitio web o utilizar sus aplicaciones para obtener información actualizada sobre las líneas de autobús, horarios y paradas. Verifica también las estaciones de metro más cercanas, como Jaume I o Liceu. Caminar: La zona es bastante céntrica, por lo que caminar puede ser una opción cómoda y agradable. Puedes explorar las calles cercanas a pie y disfrutar de la arquitectura y el ambiente local. Bicicleta: Barcelona es una ciudad amigable para bicicletas. Puedes alquilar una bicicleta y explorar la ciudad pedaleando. Asegúrate de conocer las rutas y carriles para bicicletas disponibles. Taxi o servicios de transporte privado: Si prefieres un transporte más privado, puedes tomar un taxi o utilizar servicios como Uber o Cabify.",False,good,False,,27.0,{'typology': 'flat'},"{'subtitle': 'Vila de Gràcia, Barcelona', 'title': 'Piso en calle Gran de Gràcia'}",False,False,False,False,False,False,,3,True,True,Vila de Gràcia,
5,105628604,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fa/db/ab/1258092157.webp,23,2200.0,"{'price': {'amount': 2200.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 3800.0, 'priceDropValue': 1600, 'priceDropPercentage': 42}}}",flat,rent,139.0,4,2,Vinyet-Terramar-Can Pei-Can Girona,Barcelona,Sitges,Vinyet-Terramar-Can Pei-Can Girona,es,41.235537,1.786528,False,https://www.idealista.com/inmueble/105628604/,36339,"Bonito y amplio ático completamente amueblado con plaza de parking y piscina comunitaria. Se compone de amplio salon con salida a espacioso balcon-terraza con orientacion sur. 4 dormitorios, dos dobles ( uno en suite con amplio vestidor) y dos individuales, dos baños completos. Cocina totalmente equipada con zona lavadero. Finca con ascensor muy próxima al centro de Sitges y sus playas. CONTRATO TEMPORADA hasta 2 años. FINCA: Comunidad en impecable estado. Amplia zona comunitaria con piscina. BARRIO Y SERVICIOS: Tranquila zona residencial en expansión muy bien comunicada al centro de Sitges y a sus playas. También tiene muy buena conexión con la autopista. Servicios cercanos.",False,good,False,,16.0,{'typology': 'flat'},"{'subtitle': 'Vinyet-Terramar-Can Pei-Can Girona, Sitges', 'title': 'Piso'}",False,False,False,False,False,False,009339,3,True,,,
6,104686108,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/70/eb/3d/1228500989.webp,26,1500.0,"{'price': {'amount': 1500.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 2500.0, 'priceDropValue': 1000, 'priceDropPercentage': 40}}}",flat,rent,76.0,2,1,avenida Catalans Universals,Girona,Castell-Platja d'Aro,Platja d'Aro,es,41.8032571,3.0583693,False,https://www.idealista.com/inmueble/104686108/,87046,"LAST MINUTE! Se alquila por cortos periodos no disponible en alquiler anual- la disponibilidad y el precio sujetos a consultar según temporada, Precio publicado mes de mayo. Disponible en agosto y septiembre ¡Alquiler en el puerto de Platja d'Aro! Disponible agosto y septiembre, un acogedor piso de 2 habitaciones con 1 baño. Este luminoso apartamento cuenta con una cocina independiente totalmente equipada y una espaciosa terraza con impresionantes vistas abiertas, perfecta para disfrutar del clima mediterráneo. Disponible Agosto Amueblado con un estilo moderno y funcional, este hogar ofrece comodidad y practicidad. Además, incluye una plaza de parking para mayor comodidad y seguridad. ¡No dejes pasar esta oportunidad de vivir tus vacaciones cerca del encanto del puerto de Platja d'Aro! Contáctanos para más información y para concertar una visita.",True,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",20.0,{'typology': 'flat'},"{'subtitle': ""Port d'Aro, Castell-Platja d'Aro"", 'title': 'Piso en avenida Catalans Universals'}",False,False,False,False,False,False,A134,3,True,True,Port d'Aro,
7,104588057,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bb/ea/c3/1225286890.webp,9,1100.0,"{'price': {'amount': 1100.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1800.0, 'priceDropValue': 700, 'priceDropPercentage': 39}}}",flat,rent,45.0,1,1,calle Nou,Barcelona,Sitges,Centre,es,41.2342772,1.8095302,False,https://www.idealista.com/inmueble/104588057/,34710,"Alquiler para uso distinto al de vivienda habitual. Si buscas un apartamento en el que disfrutar de tu tiempo libre, fines de semana o vacaciones, sin duda esta es una muy buena opcion, ya que se halla situado en el centro de Sitges, en una de las calles más bonitas del casco antiguo y a escasos 100 metros del mar.   Se trata de un segundo piso con ascensor, que consta de un amplio salón comedor con salida a un balcón desde el que se ve la playa, un dormitorio de matrimonio, cocina y baño con plato de ducha. Se halla totalmente amueblado y equipado. Escápate de la gran ciudad y de la rutina y disfruta del tiempo libre cerca del mar, en un encantador apartamento.",False,good,False,,24.0,{'typology': 'flat'},"{'subtitle': 'Centre, Sitges', 'title': 'Piso en calle Nou'}",False,False,False,False,False,False,,2,True,True,,
8,105397112,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1a/2e/b6/1251802661.webp,42,8500.0,"{'price': {'amount': 8500.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 14000.0, 'priceDropValue': 5500, 'priceDropPercentage': 39}}}",chalet,rent,250.0,5,3,avenida de la Pineda,Barcelona,Castelldefels,Gran Via del Mar-Zona Universitaria,es,41.2712615,1.9832596,False,https://www.idealista.com/inmueble/105397112/,20304,"� Alquiler Temporal en Casa de Lujo � Estancia mínima: 1 mes ¡Disfruta de tu hogar ideal! Alquilamos una casa espectacular de 4 habitaciones más buhardilla, ideal para quienes buscan comodidad y espacio. Características destacadas: � Espacio: Amplio salón comedor con acceso a una gran terraza. � Habitaciones: 4 habitaciones (tres dobles) y una buhardilla. � Baños: 2 baños completos y 1 aseo adicional. ❄️ Confort: Aire acondicionado para tu comodidad. � Cocina: Cocina office totalmente equipada. � Exterior: Gran jardín con césped y piscina. � Cocina exterior: Cocina adicional en el jardín con nevera. � Entretenimiento: Televisores en todas las habitaciones y un espectacular televisor de 100 pulgadas en el comedor. �♂️ Ubicación privilegiada: � A solo 5 minutos caminando de la playa. � Excelente conexión con el transporte público. ✈️ A solo 15 minutos del aeropuerto. ¡No te pierdas esta oportunidad única! � Contáctanos ya para más información y reservas.",True,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",34.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Gran Via del Mar-Zona Universitaria, Castelldefels', 'title': 'Casa independiente en avenida de la Pineda'}",False,False,False,False,False,False,,,,,,
9,104924885,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f4/38/d2/1236409244.webp,54,1200.0,"{'price': {'amount': 1200.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1900.0, 'priceDropValue': 700, 'priceDropPercentage': 37}}}",flat,rent,88.0,2,2,avenida de s'Agaró,Girona,Castell-Platja d'Aro,Platja d'Aro,es,41.8078774,3.0603438,False,https://www.idealista.com/inmueble/104924885/,87457,"¡Descubre tu nuevo hogar en este espectacular apartamento reformado de 88 m² en una ubicación inmejorable! Esta joya cuenta con dos acogedoras habitaciones equipadas con armarios empotrados. El amplio salón-comedor, junto a una cocina totalmente equipada, te permitirá disfrutar de momentos inolvidables con familiares y amigos. Además, dispone de dos baños completos, ideales para tu comodidad. Las impresionantes vistas desde la terraza y el balcón serán un deleite para tus sentidos. La calefacción de gas ciudad y el aire acondicionado te garantizan un ambiente perfecto en cualquier estación del año. Situado en la planta 3 de un edificio con ascensor, este apartamento ofrece comodidad y fácil acceso.  La orientación sur-oeste brinda excelente iluminación natural. Rodeado de comercios, tendrás todo lo que necesitas a tu alcance. Además, cuenta con una facilidad para aparcar, piscina y jardín para disfrutar del ocio en los días soleados. No dejes pasar esta oportunidad de vivir en un entorno inigualable. ¡Ven a visitarlo y enamórate! Precios del 1 de junio al 2 de julio: 1.900 euros del 2 de julio al 2 de agosto: 3.500 euros del 2 de agosto al 2 de septiembre: 3.500 euros  del 2 de septiembre al 3 de octubre: 1.900 euros también disponible en alquiler anual.",False,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",14.0,{'typology': 'flat'},"{'subtitle': ""Platja Llarga, Castell-Platja d'Aro"", 'title': ""Piso en avenida de s'Agaró""}",False,False,False,False,False,False,CCB609PPDA,3,True,True,Platja Llarga,
