propertyCode,thumbnail,externalReference,numPhotos,floor,price,priceInfo,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,topPlus,parkingSpace,neighborhood,highlight,newDevelopmentFinished
105175316,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a8/cd/04/1244108559.webp,72,14,3,750.0,"{'price': {'amount': 750.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1500.0, 'priceDropValue': 750, 'priceDropPercentage': 50}}}",flat,rent,70.0,True,3,1,calle de la Ronda,Cantabria,Castro-Urdiales,Centro,es,43.3803777,-3.2216852,False,https://www.idealista.com/inmueble/105175316/,271403,"Alquiler de piso de 3 habitaciones en pleno centro de Castro Urdiales. El piso cuenta con 3 habitaciones, 1 baño completo, cocina independiente y salón comedor. Tiene ascensor y calefacción de gas natural. Situado en pleno centro de Castro Urdiales y rodeado de todos los servicios de la zona como Centro de Salud, farmacias, supermercados y a pocos metros del parque Amestoy y del puerto. Se piden 2 meses de fianza. No se admiten mascotas. Se contrata Seguro de Impago, ingresos demostrables de 2.250€ y antigüedad de 1 año en el puesto de trabajo.",False,good,False,True,11.0,{'typology': 'flat'},"{'subtitle': 'Centro, Castro-Urdiales', 'title': 'Piso en calle de la Ronda'}",False,False,False,False,False,False,,,,
104775721,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0e/6b/33/1231255911.webp,003065,21,3,600.0,"{'price': {'amount': 600.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1200.0, 'priceDropValue': 600, 'priceDropPercentage': 50}}}",flat,rent,60.0,True,2,1,"calle Reconquista de Sevilla, 1",Cantabria,Laredo,Centro,es,43.4099896,-3.4126566,True,https://www.idealista.com/inmueble/104775721/,284901,"SOLO CURSO ESCOLAR. NO LARGA DURACIÓN! Buscas un piso en el centro de Laredo listo para entrar a vivir, donde poder tener todo lo necesario para tu día a día cerca, como bares, restaurantes, supermercados, colegios, farmacias, parada de autobus, gimnasio, piscina, etc.. . este piso se encuentra al lado de absolutamente todo! y a tan solo 5 mnt de la playa! Este piso es perfecto si quieres entrar directamente a vivir. Nada más entrar nos encontramos con un hall de entrada, salón comedor amplio que de origen era sala de estar y otra habitación pero decidieron realizar reforma y convertir el salón más grande, un dormitorio principal amplio con mucha luz y una habitación individual con su armario empotrado, baño reformado y cocina completamente equipada. La Orientación es perfecta, por ello cuenta con Sol todo el día lo que permite tener una luz increíble! El edificio no tiene ascensor y es de hormigón! ¡No puedes dejar escapar esta oportunidad! Ven a visitarlo sin compromiso! Estaremos encantadas de atenderte!",False,good,False,False,10.0,{'typology': 'flat'},"{'subtitle': 'Centro, Laredo', 'title': 'Piso en calle Reconquista de Sevilla, 1'}",False,False,False,False,False,False,,,,
81545073,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ab/ee/a4/583105086.webp,OLI-Palmeres,28,1,600.0,"{'price': {'amount': 600.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1200.0, 'priceDropValue': 600, 'priceDropPercentage': 50}}}",flat,rent,62.0,True,2,1,riu albaida,València,Sueca,Les Palmeres,es,39.2553454,-0.2614491,False,https://www.idealista.com/inmueble/81545073/,271970,"SE REQUIERE PASAR EL FILTRO DEL SEGURO DE ALQUILER. IMPRESCINDIBLE ÚLTIMAS NOMINAS Apartamento a 50 metros del paseo marítimo. Es un primer piso sin ascensor. Consta de dos habitaciones, baño completo con bañera y bidé, cocina equipada, (horno y encimera tienen 2 meses) salón comedor y terraza con mesa y sillas para gozar de la brisa marina. Los dormitorios están preparados de la siguiente forma: - habitación primera, una cama de matrimonio, canapé + colchón y cómoda - habitación segunda, una litera con 2 camas individuales pequeñas. Y en el salón tenemos un sofá cama para algún invitado días puntuales. Esta totalmente equipado para vivienda habitual, descansar fines de semana y disfrutar del verano, armarios empotrados, televisor, nevera, tostadora, vitrocerámica, horno, lavadora, microondas, ventilador de techo.",False,good,False,False,10.0,{'typology': 'flat'},"{'subtitle': 'Les Palmeres, Sueca', 'title': 'Piso en riu albaida'}",False,False,False,False,False,False,,,,
104019713,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/77/7e/80/675408683.webp,001415.,28,14,550.0,"{'price': {'amount': 550.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1100.0, 'priceDropValue': 550, 'priceDropPercentage': 50}}}",flat,rent,60.0,True,2,1,"plaza Carlos V, 1",Cantabria,Laredo,Carlos V,es,43.4088677,-3.4284758,True,https://www.idealista.com/inmueble/104019713/,285763,"NO LARGA DURACIÓN! Ubicado a escasos dos minutos a pie de la playa y en residencia privada con zona de parking comunitario, juegos infantiles, pista de tenis y zona de gimnasio al aire libre. También cuenta con conserje todo el año. El apartamento tiene todas las instalaciones (fontanería, electricidad y resto de saneamientos) nuevos. Esta distribuido en salón comedor con ventanal y agradables vistas, baño completo con plato de ducha, cocina con zona de barra para poder comer desde el salón, dormitorio principal y otra habitación con armario empotrado. Tiene todos los servicios a mano, hospital, colegios, grandes supermercados y fácil salida a la autovía. no dejes de venir a verlo, te encantará!",False,good,False,True,9.0,{'typology': 'flat'},"{'subtitle': 'Carlos V, Laredo', 'title': 'Piso en plaza Carlos V, 1'}",False,False,False,False,False,False,,,,
104971443,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/af/a5/b4/1237756376.webp,,10,1,750.0,"{'price': {'amount': 750.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1500.0, 'priceDropValue': 750, 'priceDropPercentage': 50}}}",flat,rent,80.0,True,2,1,avenida Madrid,València,Playa de Farnals,,es,39.5611836,-0.2894197,False,https://www.idealista.com/inmueble/104971443/,238154,"Se alquila estupendo apartamento para TODO EL AÑO, ubicado en la Playa de la Puebla de Farnals. La vivienda tiene 80m². Consta de salón comedor, 2 habitaciones con armarios empotrados, 1 baño completo con plato de ducha, cocina independiente totalmente equipada y terraza.  Además, dispone de aire acondicionado split de frío y calor y garaje comunitario. El complejo tiene piscina y zonas infantiles. La Puebla de Farnals está ubicada en l'Horta Nord, situada a 13 km de Valencia ciudad (a tan solo 10 minutos en coche). Con entrada/salida directa a la circunvalación de valencia por la autovía V-21. Su playa de fina arena está dotada con todo tipo de servicios e instalaciones deportivas, servicios de duchas, sombrillas, socorrista y personal de ayuda para personas con movilidad reducida. Además, la zona dispone de toda clase de servicios como centro de salud, supermercados, farmacia, tiendas y restaurantes, recogida de niños en transporte escolar y transporte público, parques infantiles, estaciones de deporte y pipicans. ¡Para cualquier consulta estaremos encantados de atenderle! Los datos de esta publicación, se muestran a título informativo, no contractual y no son vinculantes. Honorarios de gestión no incluidos.",False,good,False,True,9.0,{'typology': 'flat'},"{'subtitle': 'Playa de Farnals', 'title': 'Piso en avenida Madrid'}",False,False,False,False,False,False,,,,
105209854,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/af/7f/be/1245240257.webp,,1,1,750.0,"{'price': {'amount': 750.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1500.0, 'priceDropValue': 750, 'priceDropPercentage': 50}}}",flat,rent,119.0,True,3,1,avenida Mediterrania s/n,Castellón,Burriana,Zona Playa,es,39.8695143,-0.0656837,True,https://www.idealista.com/inmueble/105209854/,210074,"Se alquila vivienda con contrato temporal hasta mayo, puerto de Burriana, amueblada y con electrodomésticos, 1 piso con ascensor y balcón, 3 habitaciones amplias y un baño. Zona muy tranquila con todos los servicios cerca. Ideal para trabajadores solo gente seria.",False,good,False,True,6.0,{'typology': 'flat'},"{'subtitle': 'Zona Playa, Burriana', 'title': 'Piso en avenida Mediterrania s/n'}",False,False,False,False,False,False,,,,
99453361,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2a/68/3b/1240551270.webp,9043,19,10,500.0,"{'price': {'amount': 500.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 900.0, 'priceDropValue': 400, 'priceDropPercentage': 44}}}",studio,rent,55.0,True,0,1,avenida de Francia,Cantabria,Laredo,El Puntal,es,43.4240595,-3.446335,False,https://www.idealista.com/inmueble/99453361/,287966,"¡Estudio de alquiler anual en el puntal de Laredo! Dispone de un salón comedor con dormitorio con acceso a una galería con vista al mar y orientación este. Cocina equipada con cocina de gas butano, lavadora, microondas y frigorífico. Baño completo con plato de ducha y agua caiente mediante caldera de gas butano. Residencia con jardines y parque infantil con juegos. En segunda línea de playa en la zona más tranquila de Laredo.  Disponible de junio a septiembre. Consultar precio y disponibilidad para alquiler de temporada.",False,good,False,True,9.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'El Puntal, Laredo', 'title': 'Estudio en avenida de Francia'}",False,False,False,False,False,False,,,,
104279110,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8b/ba/4f/1215326156.webp,alquiler campoverde. verano. ,14,3,700.0,"{'price': {'amount': 700.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1200.0, 'priceDropValue': 500, 'priceDropPercentage': 42}}}",flat,rent,105.0,True,3,2,calle Alce,Segovia,El Espinar,San Rafael,es,40.719084,-4.1939119,False,https://www.idealista.com/inmueble/104279110/,296404,"Piso en urbanización, zonas comunes piscina, tenis. Etc.  ALQUILER TEMPORAL. NO SE ALQUILA POR AÑO. DISPONIBLE PARA ESTANCIAS CORTAS, INFERIORES A UN AÑO.   PARA CURSO ESCOLAR, PROFESORES, PROFESIONALES. ETC. "" imprescindible justificarlo con contrato de trabajo.   Julio y agosto. Reservado.  Junio. 1.000. -€. septiembre 1.000. -€.  semana santa, puentes, quincenas,  curso escolar consultar. etc.   amplio salón comedor, con terraza acristalada, cocina amueblada y equipada.  tres dormitorios, dos baños completos con plato de ducha.  no se realizan visitas presenciales, para estancias cortas. y para estancias largas, previamente se realizara estudio económico.",False,good,False,True,7.0,{'typology': 'flat'},"{'subtitle': 'San Rafael, El Espinar', 'title': 'Piso en calle Alce'}",False,False,False,False,False,False,,,,
104894296,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/18/d9/c0/1235046226.webp,3164528,6,2,750.0,"{'price': {'amount': 750.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1200.0, 'priceDropValue': 450, 'priceDropPercentage': 38}}}",flat,rent,68.0,True,1,1,Torreón - La Almadraba,Castellón,Benicasim/Benicàssim,Torreón - La Almadraba,es,40.0489565,0.0671503,False,https://www.idealista.com/inmueble/104894296/,195549,"ALQUILER ANUAL  Se trata de un bonito estudio, con cocina abierta al salón comedor. Desde el salón tienes acceso a la terraza, ideal para disfrutar del buen tiempo que caracteriza la zona. A continuación tenemos un baño completo, reformado con ducha y habitación doble con armarios empotrados y ventilador de techo. Ubicación perfecta para ir andado tanto a la playa como al centro del pueblo.  La finca cuenta con ascensor, plaza de garaje, piscina comunitaria, jardín y zona de juegos para niños. LO TIENES TODO! Encuentra más en Este anuncio es informativo, puede contener errores, de manera que su información no es vinculante. En cualquier caso, procuramos ser lo más rigurosos posible. El precio puede variar y no incluye impuestos ni honorarios. FUTUR-CAS servicios inmobiliarios.",False,good,False,False,11.0,{'typology': 'flat'},"{'subtitle': 'Torreón - La Almadraba, Benicasim/Benicàssim', 'title': 'Piso'}",False,False,False,False,False,False,,,,
100902169,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/76/25/13/1264941046.webp,pelayo,12,4,750.0,"{'price': {'amount': 750.0, 'currencySuffix': '€/mes', 'priceDropInfo': {'formerPrice': 1200.0, 'priceDropValue': 450, 'priceDropPercentage': 38}}}",flat,rent,65.0,True,2,1,paseo Menéndez Pelayo,Cantabria,Castro-Urdiales,Brazomar,es,43.3743121,-3.212421,False,https://www.idealista.com/inmueble/100902169/,270396,"Brazomar precioso piso completamente reformado 2 habitaciones, salón cocina equipada completa, baño. Habitación principal cama de matrimonio, segunda habitación cama nido, dispone de otra habitación ciega con cama de 80. Parking, gas natural. Frente a la playa de Brazomar, comercios, parques.. . NO SE ADMITEN MASCOTAS. Ingresos demostrables. Obligatorio seguro de impago.",False,good,False,True,12.0,{'typology': 'flat'},"{'subtitle': 'Brazomar, Castro-Urdiales', 'title': 'Piso en paseo Menéndez Pelayo'}",False,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,,
