propertyCode,thumbnail,externalReference,numPhotos,floor,price,priceInfo,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,highlight,topNewDevelopment,topPlus,parkingSpace,newDevelopmentFinished
105157805,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6f/55/8c/1253929188.webp,CATOLICO 250,67,7,250000.0,"{'price': {'amount': 250000.0, 'currencySuffix': '€'}}",flat,sale,113.0,True,4,2,paseo de Fernando el Católico,Zaragoza,Zaragoza,Universidad San Francisco,es,Universidad San Francisco,41.6401684,-0.8989246,False,https://www.idealista.com/inmueble/105157805/,2517,"PROPISO OFRECE EN EXCLUSIVA, VIVIENDA DE 4 HABITACIONES CON TERRAZA EXTERIOR A FERNANDO EL CATÓLICO!  El piso cuenta con 100 m2 útiles, distribuidos en salón de 21 m2, 4 dormitorios (3 de ellos, dobles), cocina de 8,5 m2, baño, aseo, balcón cubierto y terraza de 5 m2 exterior al paseo. El estado de la vivienda está para reformar al gusto, con multitud de posibilidades a la hora de plantear actualizaciones.  El inmueble destaca por su luminosidad, gracias a sus 3 orientaciones: ESTE (salón y 2 dormitorios, OESTE (cocina y tercer dormitorio) y SUR (cuarto dormitorio).  La finca está rodeada de todo tipo de servicios esenciales (Universidad, colegios, clínicas, farmacias, supermercados.. . ubicados a menos de 100 m. de distancia), transporte público (a menos de 100 metros de la parada del tranvía de Emperador Carlos V y de la parada de autobús del 42 y Circular 1 con destino a la Estación Intermodal de Delicias) y hospitales (a menos de 500 m. del Hospital Universitario Miguel Servet y 800 m. del Clínico). NO PIERDA LA OPORTUNIDAD DE VENIR A VISITARLO! AGENCIA ESPECIALIZADA EN LA ZONA UNIVERSIDAD-ROMAREDA-RUISEÑORES, CON MÁS DE 10 AÑOS DE EXPERIENCIA. *Este anuncio no es vinculante y queda sujeto a las vinculaciones contractuales derivadas del acuerdo de voluntades entre comprador y vendedor *.",True,good,False,True,2212.0,{'typology': 'flat'},"{'subtitle': 'Universidad San Francisco, Zaragoza', 'title': 'Piso en paseo de Fernando el Católico'}",True,True,False,True,{'groupDescription': 'Top'},False,False,,
105832061,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/56/95/57/1264342535.webp,CLA195,35,3,195000.0,"{'price': {'amount': 195000.0, 'currencySuffix': '€'}}",flat,sale,65.0,True,2,1,calle de San Antonio María Claret,Zaragoza,Zaragoza,Universidad San Francisco,es,Universidad San Francisco,41.6467586,-0.8959195,False,https://www.idealista.com/inmueble/105832061/,1858,"VIVIENDA EXTERIOR CON GARAJE EN FINCA EN CALLE SAN ANTONIO Mª CLARET! JUNTO A AVENIDA GOYA. En esta ocasión desde Propiso les ofrecemos una estupenda vivienda que cuenta con 60 m2 útiles distribuidos en 2 amplias habitaciones, ambas con armario empotrado, salón, cocina, baño y plaza de garaje de 14 m2 para coche grande y moto en finca incluida en precio. Magnífica distribución con muy poco pasillo, 3ª planta exterior con ascensor, luminosa, calefacción individual a gas, pocos gastos de comunidad. Ascensor a cota cero. Debido a su privilegiada geolocalización a escasos metros de Plaza San Francisco, Paseo Fernando el Católico, el campus universitario y Avenida Goya, tiene fácil acceso a todo tipo de servicios, hospitales, colegios, comercios, hostelería y transporte. Ideal para familias que valoren las múltiples ventajas de vivir en una de las zonas más emblemáticas de Zaragoza, o para inversores que deseen una alta rentabilidad de forma segura su capital. NO PIERDA LA OPORTUNIDAD DE VENIR A VISITARLO! ****Este anuncio no es vinculante y queda sujeto a las vinculaciones contractuales derivadas del acuerdo de voluntades entre comprador y vendedor. **** AGENCIA ESPECIALIZADA EN LA ZONA CENTRO-UNIVERSIDAD-RUISEÑORES CON MAS DE 10 AÑOS DE EXPERIENCIA.",True,good,False,True,3000.0,{'typology': 'flat'},"{'subtitle': 'Universidad San Francisco, Zaragoza', 'title': 'Piso en calle de San Antonio María Claret'}",True,True,False,False,{'groupDescription': 'Top'},False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",
105447275,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/84/94/43/1252991885.webp,,50,en,220000.0,"{'price': {'amount': 220000.0, 'currencySuffix': '€'}}",flat,sale,148.0,True,4,2,calle de Martín Ruizanglada,Zaragoza,Zaragoza,Universidad San Francisco,es,Universidad San Francisco,41.6424767,-0.8898584,False,https://www.idealista.com/inmueble/105447275/,1833,"PROPISO OFRECE EN EXCLUSIVA, VIVIENDA EN LA CALLE RUIZ ANGLADA! En esta ocasión ponemos a su disposición un inmueble que cuenta con 99 metros cuadrados útiles distribuidos en un salón de 15m2, 4 dormitorios (tres de ellos dobles), dos baños y cocina de 9m2 con acceso a galería. Además, dispone de un pequeño trastero dentro de la vivienda, lo que añade un extra de comodidad y espacio de almacenamiento. Dispone de plaza de garaje exterior rotativa. La calefacción es central y cuenta con unos gastos mensuales de comunidad de 117€. La vivienda es exterior prácticamente en su totalidad y tiene orientación SUR/OESTE. Cuenta con una gran distribución a la hora de plantear diferentes posibilidades de actualización según las necesidades de cada persona. Ideal ideal para familias que busquen contar con todos los privilegios de vivir en una zona céntrica y bien conectada, o para aquellas personas que se planteen rentabilizar su capital a través de forma segura. La finca se encuentra en muy buen estado de conservación, con elevador y dos ascensores. La ubicación es inmejorable, con acceso inmediato a servicios de transporte, salud, ocio y restauración. Todo lo que necesitas está a un paso. No pierdas esta oportunidad de vivir en una de las zonas más demandadas y con mayor proyección de la ciudad.  Próximamente, se podrá realizar una visita virtual 3D para que puedas explorar cada rincón del piso desde la comodidad de tu hogar.  *Este anuncio no es vinculante y queda sujeto a las vinculaciones contractuales derivadas del acuerdo de voluntades entre comprador y vendedor. *. "". AGENCIA ESPECIALIZADA EN LA ZONA CENTRO-UNIVERSIDAD-RUISEÑORES CON MAS DE 10 AÑOS DE EXPERIENCIA.",True,renew,False,True,1486.0,{'typology': 'flat'},"{'subtitle': 'Universidad San Francisco, Zaragoza', 'title': 'Piso en calle de Martín Ruizanglada'}",True,True,False,False,{'groupDescription': 'Top'},False,False,,
104623253,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/42/c2/71/1226397314.webp,,46,2,236000.0,"{'price': {'amount': 236000.0, 'currencySuffix': '€'}}",flat,sale,156.0,True,5,3,calle de Fray Luis Amigó,Zaragoza,Zaragoza,Ruiseñores,es,Ruiseñores,41.6374274,-0.8917589,False,https://www.idealista.com/inmueble/104623253/,2393,"Desde PROPISO ofrecemos en exclusiva vivienda con INMEJORABLE UBICACIÓN junto al PARQUE GRANDE!  En esta ocasión ponemos a su disposición un inmueble para reformar, ubicado en una de las zonas más apacibles de Zaragoza. Partiendo de sus 136 metros cuadrados útiles, el inmueble dispone de una gran distribución y cuenta con 5 dormitorios, tres de ellos dobles, salón de casi 25 metros con acceso a terraza de otros 12 metros cuadrados, dos baños, aseo y cocina con acceso a galería interior. Como elementos distintivos podemos resaltar su luminosidad, gracias a su orientación (este y oeste); su excelente distribución con un aprovechamiento óptimo de los metros cuadrados; y su geolocalización, con acceso inmediato a todo tipo de servicios de transporte, salud, ocio y restauración al lado del emblemático Parque Grande. La finca cuenta con CUATRO ascensores a cota cero y servicio de portería con recogida de basuras durante todo el año así como posibilidad de plaza de garaje en el mismo bloque. El abanico de posibilidades de actualización es infinito y puede variar en función de las necesidades de los potenciales compradores. Ideal para personas que busquen contar con todos los privilegios de vivir en una zona céntrica y bien conectada, o para aquellas personas que se planteen rentabilizar su capital de forma segura. NO PIERDA LA OPORTUNIDAD DE VENIR A VISITARLO! ****Este anuncio no es vinculante y queda sujeto a las vinculaciones contractuales derivadas del acuerdo de voluntades entre comprador y vendedor. **** AGENCIA ESPECIALIZADA EN LA ZONA CENTRO-UNIVERSIDAD-RUISEÑORES CON MAS DE 10 AÑOS DE EXPERIENCIA.  *** PROXIMAMENTE VISITA VIRTUAL EN 3D*****.",True,renew,False,True,1513.0,{'typology': 'flat'},"{'subtitle': 'Ruiseñores, Zaragoza', 'title': 'Piso en calle de Fray Luis Amigó'}",True,True,False,False,{'groupDescription': 'Top'},False,False,,
105341044,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/55/58/9b/1249193277.webp,LALUZ160,31,bj,160000.0,"{'price': {'amount': 160000.0, 'currencySuffix': '€'}}",flat,sale,66.0,True,2,1,calle de la Luz,Zaragoza,Zaragoza,Ruiseñores,es,Ruiseñores,41.6392848,-0.8889562,False,https://www.idealista.com/inmueble/105341044/,2100,"PROPISO OFRECE EN EXCLUSIVA VIVIENDA CON TERRAZA EN RUISEÑORES! En esta ocasión, ponemos a su disposición vivienda de 55 m2 útiles para entrar a vivir, totalmente exterior en planta baja distribuida en 2 habitaciones, salón de mas de 26 m2, cocina, baño y terraza.  Desde el salón, encontramos la salida a la terraza de 35 m2 en pleno centro de la ciudad, lo que nos da multitud de posibilidades y diferentes usos. Cuenta con una reforma integral en el año 2016 en la que se realizo: electricidad y fontanería completamente nueva, puerta blindada, baños y cocina totalmente equipados, ventanas con rotura de puente térmico, suelos de tarima y paredes lisas, armario empotrado en el vestíbulo. Aislamiento con fibra de vidrio en todas las paredes que colinda con la parte exterior y en todo el techo de la vivienda. Dispone de split de AA/CC inverter en el salón tanto de frio como de calor. Al ser completamente exterior es una vivienda muy luminosa. Cuenta con muy pocos gastos de comunidad: 45€/mes. El inmueble cuenta con toma de gas. Destacar su inmejorable ubicación, en una de las calles mas apacibles del sector Ruiseñores, a muy pocos minutos de Paseo Sagasta y el Parque Grande y con acceso inmediato a todo tipo de servicios de transporte, salud, ocio y restauración. La finca se encuentra en muy buen estado de conservación con portal a cota cero y ascensor sin barreras arquitectónicas. Por ello se trata de una vivienda ideal para aquellos que busquen contar con todos los privilegios de vivir en una zona céntrica y bien conectada, o para aquellas personas que se planteen rentabilizar su capital a través de forma segura. Próximamente, visita virtual 3D. NO DUDEN EN VENIR A VISITARLO! AGENCIA ESPECIALIZADA EN LA ZONA CENTRO-UNIVERSIDAD-RUISEÑORES CON MAS DE 10 AÑOS DE EXPERIENCIA. *Este anuncio no es vinculante y queda sujeto a las vinculaciones contractuales derivadas del acuerdo de voluntades entre comprador y vendedor *.",True,good,False,True,2424.0,{'typology': 'flat'},"{'subtitle': 'Ruiseñores, Zaragoza', 'title': 'Piso en calle de la Luz'}",True,True,False,False,{'groupDescription': 'Top'},False,False,,
105107727,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/44/b5/9e/1241916889.webp,,52,8,269000.0,"{'price': {'amount': 269000.0, 'currencySuffix': '€'}}",flat,sale,115.0,True,4,2,avenida de José Anselmo Clavé,Zaragoza,Zaragoza,Centro,es,Doctor Cerrada,41.6478071,-0.8938487,False,https://www.idealista.com/inmueble/105107727/,1650,"PROPISO OFRECE EN EXCLUSIVA, OCTAVA PLANTA EXTERIOR MUY LUMINOSA CON VISTAS A LA AVENIDA ANSELMO CLAVÉ. Vivienda de 110 m2 útiles, distribuidos en 4 dormitorios (todos dobles), con armario empotrado incluido en ellas; salón de 20 m2, cocina de 13 m2, 2 baños y 1 balcón cubierto. Magnífica distribución. Espectaculares vistas a la avenida Anselmo Clavé. Finca señorial ubicada a escasos metros del Paseo María Agustín y de la Avenida Goya. Junto a la estación del Portillo y del Caixa Forum.  Portero en finca, zonas verdes, zona de juego infantil y piscina en la propia finca. Split de aire acondicionado en el salón. Trastero en la propia finca. Calefacción y agua caliente centrales, con gastos de comunidad ajustados.  Posibilidad de plaza de garaje en la finca con acceso directo desde el ascensor tanto a los garajes como a los trasteros. Esta exclusiva vivienda destaca por su inmejorable ubicación, excelente distribución, su buen estado de conservación, su gran luminosidad y sus magníficas vistas. Su privilegiada geolocalización permite fácil acceso a todo tipo de servicios de ocio, restauración, salud y trasporte.  ¡NO PIERDA LA OPORTUNIDAD DE VENIR A VISITARLO! AGENCIA ESPECIALIZADA EN LA ZONA UNIVERSIDAD-DOCTOR CERRADA-ROMAREDA-RUISEÑORES CON MAS DE 10 AÑOS DE EXPERIENCIA. ****Este anuncio no es vinculante y queda sujeto a las vinculaciones contractuales derivadas del acuerdo de voluntades entre comprador y vendedor. ****.",True,good,False,True,2339.0,{'typology': 'flat'},"{'subtitle': 'Doctor Cerrada, Zaragoza', 'title': 'Piso en avenida de José Anselmo Clavé'}",True,True,False,False,{'groupDescription': 'Top'},False,False,,
104845051,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/19/7a/57/1233363865.webp,PI4287,32,6,199000.0,"{'price': {'amount': 199000.0, 'currencySuffix': '€'}}",flat,sale,90.0,True,4,1,camino de las Torres,Zaragoza,Zaragoza,Centro,es,Paseo Sagasta,41.6383916,-0.8860262,False,https://www.idealista.com/inmueble/104845051/,2092,"""VIVIENDA A LA VENTA EN CAMINO LAS TORRES ESQUINA CON PASEO SAGASTA, CERCA DE TODOS LOS SERVICIOS"" 90m bien distribuidos, 4 dormitorios, 3 dobles y una sencilla, salón independiente, cocina con salida a galería y un baño. Piso para reformar con muchas posibilidades. Suelos de gres, ventanas de aluminio cristal, puertas sapelly. Buena comunidad. Ascensor a cota cero. Exterior. Calefacción individual de gas. Pequeño trastero incluido Contacta con nosotros para visitarlo y si te gusta te ayudamos a buscar financiación según solvencia.",False,good,False,True,2211.0,{'typology': 'flat'},"{'subtitle': 'Paseo Sagasta, Zaragoza', 'title': 'Piso en camino de las Torres'}",True,True,False,False,{'groupDescription': 'Top'},False,False,,
104811819,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/70/54/80/1263694026.webp,PT10612,36,4,195000.0,"{'price': {'amount': 195000.0, 'currencySuffix': '€'}}",flat,sale,103.0,True,3,2,calle de la Reina Fabiola,Zaragoza,Zaragoza,Miraflores San Jose,es,Parque Miraflores,41.6460203,-0.8749615,False,https://www.idealista.com/inmueble/104811819/,1133,""" VIVIENDA EN INMEJORABLE ZONA EN BARRIO DE SAN JOSÉ, CERCA DEL CENTRO, PARQUES, COLEGIOS, LÍNEAS DE AUTOBÚS, COMERCIOS Y SALIDAS DE CIUDAD "" Le presentamos este gran piso de 90m2 útiles para actualizar a su gusto, en un edificio con orientación Noroeste, muy luminoso, con ascensor a cota 0 y en el que se incluye la calefacción central en la cuota de comunidad de tan sólo 124€ mensuales. Con una excelente distribución para mayor confortabilidad, nos recibe una gran entrada con armario empotrado y un pasillo que nos reparte de forma cómoda las diferentes estancias, como la gran cocina comedor con despensa y salida a una galería tendedor, dos baños, tres dormitorios dobles con armarios empotrados y salón con salida a terraza exterior a la calle. Lo podrá dejar a su gusto, pero tenga en cuenta que ya dispone de puerta de entrada de seguridad, suelos de terrazo, carpintería exterior de madera al igual que la interior y con paredes estucadas. Si necesita aparcamiento, le ofrecemos la posibilidad de adquirir de manera opcional dos plazas de garaje por 50.000€. Si le gusta no dude en llamarnos para concertar visita y le ayudaremos a buscar su financiación según solvencia.",False,good,False,True,1893.0,{'typology': 'flat'},"{'subtitle': 'Parque Miraflores, Zaragoza', 'title': 'Piso en calle de la Reina Fabiola'}",True,True,False,False,{'groupDescription': 'Top'},False,False,,
105063346,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5f/6b/fb/1256985620.webp,ARF-11892,31,4,145000.0,"{'price': {'amount': 145000.0, 'currencySuffix': '€'}}",flat,sale,86.0,True,3,1,calle de Luis Braille,Zaragoza,Zaragoza,Miraflores San Jose,es,La Granja,41.639823,-0.871113,False,https://www.idealista.com/inmueble/105063346/,1878,"Financiación hipoteca 100% ¡oportunidad única en el corazón de la ciudad! se vende magnífica vivienda de 86m2 construidos, de los cuales 81m2 son útiles. Ubicada en un edificio con ascensor. Este encantador piso, construido en 1962, se encuentra en perfecto estado y ofrece una distribución funcional y cómoda. La vivienda cuenta con 3 amplios dormitorios, ideales para familias o para quienes necesiten espacio adicional para oficina o estudio. Dispone de un baño completo, perfectamente equipado para su comodidad. La orientación oeste asegura una excelente luminosidad natural durante toda la tarde, creando un ambiente cálido y acogedor. Además, podrá disfrutar del aire libre en su terraza privada y de una práctica galería. El suelo de tarima aporta un toque elegante y moderno a la vivienda, mientras que el sistema de aire acondicionado y calefacción por bomba de frío-calor garantiza su confort durante todo el año. Con unos gastos de comunidad de solo 74€ al mes, este piso es una opción asequible y conveniente. No deje pasar esta oportunidad de vivir en una zona con todos los servicios a su alcance. ¡no espere más! contacte con nosotros para más información y para agendar una visita. ¡este piso puede ser su nuevo hogar! según estudio de solvencia, posibilidad del 100% de financiación. Central inmobiliaria zaragoza ¡tu solución en vender, comprar o alquilar tu propiedad en zaragoza!",False,good,False,True,1686.0,{'typology': 'flat'},"{'subtitle': 'La Granja, Zaragoza', 'title': 'Piso en calle de Luis Braille'}",True,True,False,False,{'groupDescription': 'Top'},False,False,,
88869622,https://img4.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f7/f2/a6/1074976825.webp,238427,80,2,668000.0,"{'price': {'amount': 668000.0, 'currencySuffix': '€'}}",flat,sale,260.0,True,4,3,calle de Fray Luis Amigó,Zaragoza,Zaragoza,Ruiseñores,es,Ruiseñores,41.6353506,-0.8914057,False,https://www.idealista.com/inmueble/88869622/,2582,"Gran piso luminoso, en Urbanización privada de zona Ruiseñores. Ubicado en la Prestigiosa calle Fray Luis Amigo, dotada de servicios, zonas deportivas y transporte público. El piso cuenta con un recibidor amplio, tres dormitorios dobles y uno simple. Un gran salón de 40 metros y cocina Office de 30 metros. Tres cuartos de baños completos. Nada más entrar percibirás tanto la sensación de amplitud que transmiten sus grandes espacios como la calidez y luminosidad de una eficiente distribución. Terraza de gran tamaño para compartir momentos de familia y amigos. Todo esto hará que disfrutes de un Hogar de Alto Standing en una urbanización frente al parque Grande. Este piso se encuentra en Fray Luis Amigo, 50006 Zaragoza en una planta segunda, Es muy luminoso y soleado, construido en el Año 1982. Se trata de un inmueble Exterior con orientación Sur. Tiene la cocina totalmente equipada de diseño. La urbanización cuenta con zona comunitaria, piscina, jardín, zona infantil y seguridad. Dos plazas de garaje y trastero. Estamos contigo en la decisión más importante de tú vida, Llámanos para ir a visitarlo DOMICILIUM calle Mariano Barbasan nº4 Tlf ( El PVP indicado no incluye impuestos ni gastos de Escritura ).",True,good,False,True,2569.0,{'typology': 'flat'},"{'subtitle': 'Ruiseñores, Zaragoza', 'title': 'Piso en calle de Fray Luis Amigó'}",True,True,True,False,{'groupDescription': 'Top'},False,False,,
